x,y,p,burnt
20,20,50,23
20,20,50,23.75
20,20,50,15
20,20,50,20.25
20,20,50,26.5
20,20,50,26.25
100,100,50,21.30
100,100,50,21.36
100,100,50,25.20
100,100,50,25.18
100,100,50,25.24
100,100,50,27.26
200,200,50,22.45
200,200,50,20.44
200,200,50,27.34
200,200,50,25.43
200,200,50,23.52
200,200,50,27.36
50,50,25,0.08
50,50,25,0.12
50,50,25,0.04
50,50,25,0.04
20,20,25,0.75
20,20,25,0.25
20,20,25,0.5
50,50,30,0.32
50,50,30,0.12
50,50,30,0.16
100,100,30,0.07
100,100,30,0.07
100,100,30,0.07
100,100,30,0.12
100,100,30,0.09
50,50,40,4.32
50,50,40,5.12
50,50,40,5.60
100,100,40,1.66
100,100,40,3.24
100,100,40,2.25
100,100,40,3.37
